Profile,Mode,Repetition,Sample_Index,Latency_ms
R1,SEMANTICSHIELD,4,15,1.0242
R1,SEMANTICSHIELD,4,16,1.1067
R1,SEMANTICSHIELD,4,17,2.0141
R1,SEMANTICSHIELD,4,18,2.4801
R1,SEMANTICSHIELD,4,19,2.4291
R1,SEMANTICSHIELD,4,20,2.4988
R1,SEMANTICSHIELD,5,1,1.7250
R1,SEMANTICSHIELD,5,2,1.4920
R1,SEMANTICSHIELD,5,3,1.5231
R1,SEMANTICSHIELD,5,4,1.1886
R1,SEMANTICSHIELD,5,5,1.3054
R1,SEMANTICSHIELD,5,6,1.3708
R1,SEMANTICSHIELD,5,7,1.2549
R1,SEMANTICSHIELD,5,8,1.2649
R1,SEMANTICSHIELD,5,9,1.3544
R1,SEMANTICSHIELD,5,10,1.9863
R1,SEMANTICSHIELD,5,11,1.7392
R1,SEMANTICSHIELD,5,12,1.4454
R1,SEMANTICSHIELD,5,13,1.1163
R1,SEMANTICSHIELD,5,14,1.3749
R1,SEMANTICSHIELD,5,15,1.0242
R1,SEMANTICSHIELD,5,16,1.1067
R1,SEMANTICSHIELD,5,17,2.0141
R1,SEMANTICSHIELD,5,18,2.4801
R1,SEMANTICSHIELD,5,19,2.4291
R1,SEMANTICSHIELD,5,20,2.4988
R2,Plain_ONNX,1,1,0.2902
R2,Plain_ONNX,1,2,0.2705
R2,Plain_ONNX,1,3,0.2611
R2,Plain_ONNX,1,4,0.2866
R2,Plain_ONNX,1,5,0.3530
R2,Plain_ONNX,1,6,0.2684
R2,Plain_ONNX,1,7,0.2636
R2,Plain_ONNX,1,8,0.2610
R2,Plain_ONNX,1,9,0.3009
R2,Plain_ONNX,1,10,0.2874
R2,Plain_ONNX,1,11,0.4673
R2,Plain_ONNX,1,12,0.3448
R2,Plain_ONNX,1,13,0.3547
R2,Plain_ONNX,1,14,0.3250
R2,Plain_ONNX,1,15,0.2650
R2,Plain_ONNX,1,16,0.2575
R2,Plain_ONNX,1,17,0.3034
R2,Plain_ONNX,1,18,0.3164
R2,Plain_ONNX,1,19,0.2579
R2,Plain_ONNX,1,20,0.2567
R2,Plain_ONNX,2,1,0.2902
R2,Plain_ONNX,2,2,0.2705
R2,Plain_ONNX,2,3,0.2611
R2,Plain_ONNX,2,4,0.2866
R2,Plain_ONNX,2,5,0.3530
R2,Plain_ONNX,2,6,0.2684
R2,Plain_ONNX,2,7,0.2636
R2,Plain_ONNX,2,8,0.2610
R2,Plain_ONNX,2,9,0.3009
R2,Plain_ONNX,2,10,0.2874
R2,Plain_ONNX,2,11,0.4673
R2,Plain_ONNX,2,12,0.3448
R2,Plain_ONNX,2,13,0.3547
R2,Plain_ONNX,2,14,0.3250
R2,Plain_ONNX,2,15,0.2650
R2,Plain_ONNX,2,16,0.2575
R2,Plain_ONNX,2,17,0.3034
R2,Plain_ONNX,2,18,0.3164
R2,Plain_ONNX,2,19,0.2579
R2,Plain_ONNX,2,20,0.2567
R2,Plain_ONNX,3,1,0.2902
R2,Plain_ONNX,3,2,0.2705
R2,Plain_ONNX,3,3,0.2611
R2,Plain_ONNX,3,4,0.2866
R2,Plain_ONNX,3,5,0.3530
R2,Plain_ONNX,3,6,0.2684
